,location,Radius,covered_nodes,Total_nodes_covered
0,"[190.43546407260374, 362.16711601101696]",80.8093125838009,"['17', '22']",2
1,"[196.18900554650244, 2.8627827662733623]",93.04432248827075,['2'],1
2,"[344.59463831642586, 76.61750096424008]",94.55154973501489,"['3', '8', '9']",3
3,"[195.34514571083443, 264.8804695828597]",85.00532532916111,"['12', '17']",2
4,"[59.514728348437615, 342.90822350843735]",82.47104845550874,"['15', '16', '20', '21']",4
5,"[53.69767559265811, 216.84860973189848]",87.40711037336331,"['10', '11']",2
6,"[347.2588050903912, 225.68776369147994]",90.47949743920152,"['13', '14', '18']",3
7,"[330.9207357241661, 349.1844333242825]",85.75643748118733,"['18', '19', '23', '24']",4
8,"[53.740755812483656, 73.9739713208622]",91.43422372545601,"['0', '1', '5', '6']",4
9,"[199.34665915356518, 151.3028090786437]",91.92638608832951,"['7', '12']",2
