,Unnamed: 0,location,Radius,covered_nodes,Total_nodes_covered
0,0,"[765.932108512983, -299.4205349881744]",314.18755661427673,"['667357383', '667357385', '667357387', '667357392', '667357401', '668660560', '668685375', '668685380', '5879215623', '5879215625', '5879215634', '6576461331', '8675266535']",13
1,1,"[55.009652684559114, 550.2615772611462]",319.72388523663477,"['667357348', '667357359', '667357361', '667357421', '668478124', '668612331', '668612391', '668672699', '668672704', '4348259297', '4348259298', '4348265098', '4348265099', '4348265101', '4348265105', '4348265107', '4642960968', '5366445082', '5366445085', '5366445091', '5366445092', '5366445093', '5584937649', '5584937650', '6571330021', '6573701501', '6573701505', '6573701524']",28
2,2,"[306.6048266284803, -350.59904260719793]",318.2297518845421,"['667357317', '667357318', '667357325', '667357326', '667357368', '667357382', '667357385', '667357387', '668685375', '668699249', '3215340463', '3215340464', '5366445105', '5879215642', '5879215643', '6495983054', '6495983060', '6568909593', '6568909594', '6568909595', '6568909609', '6573854574', '8666700466']",23
3,3,"[732.0274392555101, 281.64122581996287]",310.42206110712743,"['667357403', '667357405', '667357407', '667357409', '667357412', '667357415', '667357416', '667357419', '4348259327', '4348259328', '4348259330', '4348259331', '4348259332', '4348259333', '4348259334', '4348259335', '4348259340', '4348259341', '4369058864', '5882320075', '7265460758', '9169143586']",22
4,4,"[-515.509733807994, 332.7171445405111]",353.6456689402954,"['668478124', '668672574', '2081722939', '4348259294', '4348259295', '4348259319', '4348259324', '5280437313', '5280437314', '5280438428', '6571330021', '6571330022', '6571330023', '7265473766', '7265482108', '7265482110', '8699875147', '8699875155', '8699875156']",19
5,5,"[470.9015041314381, -723.3702344347703]",327.1143684973279,"['667357309', '667357310', '667357311', '667357368', '668660548', '668660552', '668660560', '668685375', '668699249', '5879215634', '5879215641', '5879215642', '5879215643', '5879215644', '5879215645', '5879215646', '5879215650', '6495983054', '6495983060', '6627410440', '6627410442']",21
6,6,"[352.2038716143066, 123.29917231288792]",311.14061676076494,"['667357352', '667357367', '667357407', '667357412', '668620092', '668672700', '668672704', '2055461156', '3215340463', '3215340464', '4348259327', '4348259328', '4369058864', '4642960968', '5077600694', '5366445082', '5366445083', '5584937649', '5584937650', '5882320075', '6568909595', '6583550562', '6785961623', '6785961658', '7147944038', '7147944044', '7147944046']",27
7,7,"[330.3985275785324, 720.2909614792154]",301.35574997470536,"['667357421', '668612331', '668612391', '1990860599', '1990860600', '4348259325', '4348259329', '4348265098', '4348265099', '4348265101', '4348265105', '4348265107', '6573701501', '6573701505', '6573701524', '6786321691', '9169143592']",17
8,8,"[584.88012146098, 782.7498576552401]",301.5229987994852,"['667357421', '1990860599', '1990860600', '4348259325', '4348259333', '6786321690', '6786321691', '9169143592']",8
9,9,"[-105.90331227897612, -874.4181666769284]",354.5556853457964,"['668699188', '668699193', '668699199', '668699237', '668699242', '6435688923', '6435688924', '6627410442']",8
10,10,"[-106.20984193888424, -3.369734450628414]",322.42988661743254,"['245674992', '667357326', '668672574', '668672700', '4348259295', '6571330023', '6583550560', '6583550562']",8
