,location,Radius,covered_nodes,Total_nodes_covered
0,"[575.738296228522, -463.2167533983159]",103.019332207076,"['668685375', '5879215634']",2
1,"[-75.14849451040342, -859.5258775042446]",144.11758475083562,['668699242'],1
2,"[-325.4242204067959, 241.60672154911975]",169.50070507259838,"['245674992', '668672574', '4348259294', '4348259295', '5280437313', '5280437314', '6571330022', '6571330023']",8
3,"[699.6490023326775, -482.662821788336]",90.19151701763515,"['668660560', '5879215623', '5879215625', '5879215634']",4
4,"[643.5086130153749, 721.2683273473881]",172.22511230672978,['6786321691'],1
5,"[-648.9339184139225, 290.6160477491394]",179.26972165912565,"['2081722939', '4348259319', '4348259324', '5280438428', '7265482108', '7265482110', '8699875147', '8699875155', '8699875156']",9
6,"[118.58340599817565, 49.7756319875805]",134.03784835194264,"['668672700', '6583550560', '6583550562']",3
7,"[728.3630913916021, 181.26482380420023]",156.03683735320672,"['667357403', '667357405', '667357409', '667357412', '667357415', '667357416']",6
9,"[509.43162676921315, 459.3211233682407]",145.31762433996207,"['667357419', '1990860599', '1990860600', '4348259325', '4348259327', '4348259328', '4348259329', '4348259330', '4348259331', '4348259332', '4348259333', '4348259334', '4348259335', '7265460758']",14
10,"[533.5195535899877, -659.9960533961206]",109.99784744279097,"['5879215641', '5879215644']",2
12,"[170.9972786231671, -481.1797323110635]",106.21801561094199,"['667357317', '667357318', '6568909609']",3
13,"[713.8492683215871, -242.62690025148203]",107.89966317206655,"['668685380', '8675266535']",2
14,"[535.6275117053815, -352.94707330364196]",95.88668801669637,"['667357382', '667357385', '667357387']",3
15,"[510.98594541370403, -303.2194184944965]",118.6016531187163,"['667357382', '667357385', '667357387', '5366445105']",4
16,"[276.2415069902419, 377.73570757659417]",146.34308795960067,"['667357367', '668672704', '4348259329', '5366445082', '5366445085', '5584937649', '5584937650', '6573701524']",8
17,"[320.2577980242204, 20.04099972732365]",129.3430903184453,"['667357352', '2055461156', '5077600694', '6785961658', '7147944038']",5
18,"[-324.85031032064245, -832.1961078241686]",152.27485914402203,"['668699188', '668699193', '668699199']",3
19,"[336.88020013967326, -369.5529309606516]",100.10329243995004,"['667357325', '5366445105', '8666700466']",3
20,"[782.1632287573439, -227.685508436065]",104.72231149630198,['668685380'],1
21,"[221.011039114181, 194.57451272221627]",154.14491169004964,"['668620092', '4642960968', '5366445082', '5366445083', '7147944044', '7147944046']",6
22,"[-57.062102298023504, 121.63093086322485]",154.0887493425501,"['245674992', '6583550560', '6583550562']",3
23,"[333.63150719205174, -243.93294833472225]",119.7445612545634,"['667357325', '3215340463', '6568909593', '6568909594', '6573854574', '8666700466']",6
24,"[438.15372903055874, -443.0884256746289]",97.26217848259864,"['667357368', '667357382', '5366445105', '5879215642']",4
25,"[417.57197195416313, 621.2289550920236]",148.60116821812574,"['667357421', '668612331', '1990860599', '1990860600', '4348259325', '4348259329', '4348265098', '4348265099']",8
26,"[-26.947590774314754, 367.0755926284431]",156.01458494281968,"['667357361', '668672699', '5366445091', '5366445092', '5366445093']",5
27,"[717.4325154904194, -80.75067073311627]",136.31530136973234,"['667357392', '667357401', '6576461331']",3
28,"[486.15217953998706, 929.2468018221771]",162.7113507653626,"['6786321690', '6786321691']",2
29,"[319.5857845710158, -695.9762415385424]",86.60229368127591,"['667357309', '667357310', '667357311']",3
30,"[613.3629880218559, -45.059420188979885]",147.4677322175587,"['667357392', '667357405', '667357407', '6576461331', '6785961623']",5
31,"[43.61311815346369, 563.4696475723791]",119.99948320173965,"['4348265105', '6573701501', '6573701505']",3
32,"[646.5455828374987, -573.2080488726253]",97.23992383028985,"['668660560', '5879215634']",2
33,"[99.4843990708259, -859.2363135791564]",116.51415790560267,"['668699237', '6435688923', '6435688924']",3
34,"[351.58081392466556, 814.1830059755594]",136.4004541492124,['9169143592'],1
35,"[301.8665850272829, -473.4484913207186]",97.20260459763385,"['667357317', '668699249', '5879215642', '5879215643', '6568909609']",5
