,location,Radius,covered_nodes,Total_nodes_covered
0,"[-276.4583492776492, 34.441175581245524]",161.7724993409393,"['3055043750', '3055043751', '4233524666', '9835121155', '9835121159', '9874250264', '10030782395', '10030782410', '10049605855', '10049646688', '10049766940', '10049766941']",12
1,"[579.3634119195128, -270.2620920337595]",152.13591870062416,"['2102480576', '2102480797', '4233524611', '4233524615', '4233524616', '4233524617', '4233524619', '4233524620', '4233654465', '4233654471', '4233654485', '4233654488', '4233654500', '4233654506', '4233654517', '4233654535', '4233654546', '4233654563', '9865685166', '10049664267']",20
2,"[345.9286192409199, -9.397700556662123]",163.40804316630573,"['2800415501', '2800415517', '2800415522', '3636291419', '3636291422', '4233524661', '5006266348', '5006266354', '5548736264', '5548736265', '5548736268', '5548736271', '6657266347', '9186468977', '9865685167', '9867211682', '9867231161', '10030780617', '10049616472', '10049616475']",20
3,"[-907.9753324561564, 27.367774210529298]",162.2701025793924,"['564483317', '3635907904', '3635907910', '3635907923', '3636985378', '4233524630', '4233524636', '4233524639', '4233524641', '4233524648', '4233524655', '4233524657', '4233524665', '6095495876', '9835170457', '9835170466', '9835170474', '9835170475', '9835170489', '9835170498', '9835190696', '9835190697', '9835210428', '9835210429', '10049590723']",25
4,"[535.6086903511708, -110.40940110301477]",171.6976633870594,"['2102480797', '2102480803', '2800415501', '4233524611', '4233524615', '4233524616', '4233524617', '4233524619', '4233524620', '4233524625', '4233654563', '5548736265', '5548736268', '9865685166', '10049664267']",15
5,"[11.894186574181258, 121.70148165731787]",166.44121624778447,"['301037265', '6095470542', '6095470546', '10030780559', '10030780571', '10049647636', '10049647640']",7
6,"[-250.15734183297863, 276.2335666810344]",168.42099003927132,"['3055043750', '3055043751', '3178456078', '4233527006', '4233527008', '4233527014', '4233527016', '4233527017', '4233527018', '4233527019', '4233527020', '4233527021', '4233527022', '4233527043', '4233527044', '4233527045', '5251925075', '9835121155', '9835228889', '9865522290', '10030782395', '10030782400', '10030782410']",23
7,"[66.66403973453144, -162.43653233845635]",164.17127374650735,"['301037251', '301037262', '3636291416', '4233654516', '5006266347', '5253345429', '9865511067', '9867267941', '10030780565', '10030780566', '10030780571', '10049647636']",12
8,"[-510.1620551802929, 413.9577086738591]",167.6094033700116,"['301037254', '473651125', '564483496', '564483517', '3055043752', '4233527012', '4233527053', '4233527073', '4233527074', '4233527081', '4233527085', '4999072803', '4999072804', '4999072807', '4999072808', '4999072816', '4999072817', '6758737650', '6758737653', '10049646662']",20
9,"[-99.61489433373941, -172.0544092475235]",160.74882998747307,"['9865511053', '9865511067', '9865731843', '9865731851', '10030780565', '10030780566']",6
10,"[869.5548062325106, 10.675397836370394]",189.42029438937908,"['2102480800', '2102480801', '2102480805', '2102480808', '4233524618', '4233524646', '4233524653', '4233524659', '4233524667', '9186411589', '10049605857', '10049605858']",12
11,"[203.25611188153687, -80.22546523750115]",162.17003487819136,"['301037251', '301037262', '3636291416', '3636291419', '3636291422', '5006266347', '5006266348', '5253345429', '6657266347', '9865685167', '9867231161', '9867267941']",12
12,"[-792.8510636852525, 160.04018933111772]",159.6378244520741,"['301037255', '3635907904', '3635907910', '3636985377', '3636985378', '3636985385', '4233524655', '4233524657', '4233524660', '4233524665', '4233524684', '6380513447', '9835190696', '9835190697', '10049590721']",15
13,"[-785.3331830548634, -172.23268699021773]",161.79557923942355,"['3635907929', '3635907930', '3635907938', '4233524626', '4233524630', '4233524633', '4233524636', '4233524637', '4233524639', '4233524641', '4233524644', '4233524647', '4233654570', '4233654579', '9835190659', '9835190693', '10030780660']",17
14,"[806.8537784668702, -193.85159699517422]",163.4482953286931,"['2102480799', '2102480800', '2102480801', '4233524607', '4233524608', '4233524610', '4233524618', '4233654501', '4233654507', '4233654514', '4233654533', '4233654535', '4233654536', '4233654546', '4233654551', '4233654563', '4233654565', '9186411589', '10049664258', '10049664259']",20
15,"[-487.2117937294702, 61.9088848593924]",154.81454789906113,"['564483459', '564483463', '3635907914', '3636985386', '3636985389', '4233524645', '4999014151', '4999014152', '9835164854', '10030780659', '10049605855', '10049766940', '10049766941']",13
16,"[764.9723059967703, -416.0444634536351]",140.1777022408094,"['2102480543', '4233524596', '4233524597', '4233524600', '4233524604', '4233524606', '4233524607', '4233524610', '4233654430', '4233654439', '4233654446', '4233654465', '4233654488', '4233654514', '9186411596', '10049664258', '10049664259']",17
17,"[327.8441914755085, -328.62610172274634]",165.14953118415147,"['2102480576', '4233654441', '4233654463', '4233654478', '4233654485', '4233654504', '4233654523', '9852876993', '10030780645']",9
18,"[-513.2323348425601, 260.0855222094605]",145.63315618973178,"['301037252', '301037253', '564483459', '564483461', '564483463', '3055043752', '3636985386', '3636985389', '4233527012', '4999072803', '6758737650', '6758737653', '10049646662']",13
19,"[-731.7518270343344, 23.803573626036222]",151.78412069154652,"['301037255', '564483317', '3635907904', '3635907914', '3636985377', '4233524626', '4233524630', '4233524633', '4233524637', '4233524638', '4233524641', '4233524644', '4233524647', '4233524648', '4233524652', '4233524655', '4233524656', '4233524657', '4233524660', '4233524665', '4233524684', '4999014152', '6380513447', '9835164854', '9835164855']",25
