,Unnamed: 0,location,Radius,covered_nodes,Total_nodes_covered
0,0,"[899.8302662751134, -146.8401274893383]",183.5067836672883,"['2102480799', '2102480800', '2102480801', '2102480805', '4233524608', '4233524610', '4233524618', '4233654501', '4233654507', '4233654514', '4233654536', '4233654551', '4233654565', '9186411589', '10049605858', '10049664258']",16
1,1,"[337.25420723680674, -149.7326371454481]",219.02424958293318,"['301037251', '2800415501', '2800415517', '2800415522', '3636291416', '3636291419', '3636291422', '4233654478', '4233654485', '4233654504', '4233654523', '5006266347', '5006266348', '5548736264', '5548736265', '5548736268', '5548736271', '6657266347', '9186468977', '9852876993', '9865685167', '9867211682', '9867231161', '10030780645']",24
2,2,"[-455.09604595218457, 412.876849150321]",185.32346860110783,"['301037254', '473651125', '564483496', '564483517', '3055043752', '3178456078', '4233527012', '4233527014', '4233527016', '4233527017', '4233527043', '4233527044', '4233527053', '4233527073', '4233527074', '4233527081', '4233527085', '4999072803', '4999072804', '4999072807', '4999072808', '4999072816', '4999072817', '6758737650', '6758737653', '9835228889', '10049646662']",27
3,3,"[471.9223488535499, -164.01673191715963]",234.71679041398292,"['2102480576', '2102480797', '2102480803', '2800415501', '2800415517', '2800415522', '3636291419', '4233524611', '4233524615', '4233524616', '4233524617', '4233524619', '4233524620', '4233524625', '4233524661', '4233654463', '4233654471', '4233654478', '4233654485', '4233654504', '4233654506', '4233654517', '4233654546', '4233654563', '5006266348', '5548736264', '5548736265', '5548736268', '5548736271', '6657266347', '9186468977', '9852876993', '9865685166', '9865685167', '9867211682', '9867231161', '10049664267']",37
4,4,"[701.1140976782985, -391.09656979942287]",195.63458363558647,"['2102480543', '2102480797', '4233524596', '4233524597', '4233524600', '4233524604', '4233524606', '4233524607', '4233524608', '4233524610', '4233524611', '4233524615', '4233654430', '4233654439', '4233654446', '4233654465', '4233654471', '4233654488', '4233654500', '4233654514', '4233654517', '4233654533', '4233654535', '4233654546', '4233654551', '4233654563', '9186411596', '10049664258', '10049664259']",29
5,5,"[-42.040417222229394, -253.8864309106995]",215.252409575809,"['4233654516', '9865511053', '9865511067', '9865731843', '9865731851', '10030780565', '10030780566']",7
6,6,"[-658.4268422292141, -107.18554012613966]",186.13309653272393,"['564483317', '3635907904', '3635907914', '3635907930', '3635907938', '4233524626', '4233524630', '4233524633', '4233524637', '4233524638', '4233524644', '4233524647', '4233524652', '4233524656', '4233524657', '4233524660', '4233654570', '4233654579', '9835164854', '9835164855', '10030780660']",21
7,7,"[-593.4724106582648, 274.3422501234381]",179.04782759472397,"['301037252', '301037253', '301037255', '564483459', '564483461', '564483463', '3055043752', '3636985386', '3636985389', '4233524684', '4233527012', '4233527053', '4999014151', '4999014152', '4999072803', '6758737650', '6758737653', '9835218071', '10049590718', '10049590721', '10049646662']",21
8,8,"[-191.1255617353188, 198.27529850253393]",197.32280249064644,"['301037265', '3055043750', '3055043751', '4233524666', '4233527006', '4233527008', '4233527014', '4233527016', '4233527017', '4233527018', '4233527019', '4233527020', '4233527021', '4233527022', '4233527044', '4233527045', '5251925075', '9835121155', '9865522290', '10030782395', '10030782400', '10030782410', '10049646688']",23
9,9,"[-737.6667275466255, 98.38740998684716]",186.6925800685928,"['301037255', '564483317', '3635907904', '3635907910', '3635907914', '3636985377', '3636985378', '3636985385', '4233524633', '4233524637', '4233524638', '4233524641', '4233524644', '4233524647', '4233524648', '4233524652', '4233524655', '4233524656', '4233524657', '4233524660', '4233524665', '4233524684', '4999014151', '4999014152', '6380513447', '9835164854', '9835164855', '9835190696', '9835190697', '10049590718', '10049590721']",31
10,10,"[-388.6074115279265, 88.3945151707031]",173.42654060370413,"['564483459', '564483463', '3055043750', '3055043751', '3636985386', '3636985389', '4233524645', '9835121155', '9835121159', '9874250264', '10030780659', '10030782395', '10049605855', '10049766940', '10049766941']",15
11,11,"[93.41613146605133, 41.12614132570159]",211.48045995770408,"['301037251', '301037262', '3636291416', '3636291419', '3636291422', '5006266347', '5253345429', '6095470542', '6095470546', '9867267941', '10030780559', '10030780565', '10030780566', '10030780571', '10030780617', '10049616472', '10049616475', '10049647636', '10049647640']",19
12,12,"[-931.7108444974676, -43.03591349489383]",194.2827568575454,"['564483317', '3635907910', '3635907923', '3635907929', '4233524630', '4233524636', '4233524637', '4233524639', '4233524641', '4233524647', '4233524648', '4233524655', '4233524657', '4233524665', '6095495876', '9835170457', '9835170466', '9835170474', '9835170475', '9835170489', '9835170498', '9835190659', '9835190693', '9835190696', '9835190697', '9835210428', '9835210429', '10049590723']",28
13,13,"[705.7408729284579, -87.85863619533879]",183.23989448620847,"['2102480797', '2102480803', '2102480808', '4233524615', '4233524616', '4233524617', '4233524619', '4233524620', '4233524625', '4233524646', '4233524653', '4233524659', '4233524667', '4233654533', '4233654535', '4233654546', '4233654551', '4233654563', '9865685166', '10049664267']",20
