,Unnamed: 0,location,Radius,covered_nodes,Total_nodes_covered
0,1,"[1304.8621442637464, 744.7378793059704]",147.03475963700558,['2166694752'],1
1,2,"[971.8005576999792, 840.5372988320682]",144.55154358934482,['268790010'],1
2,4,"[1631.9352087567456, 127.75873028645204]",144.7446924205499,"['275676982', '330654083', '330654123']",3
3,5,"[1536.197849355758, 306.1145147582221]",145.14739185697167,"['275676979', '330654123']",2
4,6,"[1453.0364533712777, 196.81266489793228]",137.34766210732482,"['2167078769', '275676979', '330654081', '330654083', '330654139']",5
5,8,"[1335.3908908386056, 217.00516293080932]",143.2848044896796,"['2167078769', '2167078770', '330654081', '330654139']",4
6,10,"[2037.3827342211823, 2290.6525858856116]",104.35710625568719,"['268789836', '268789959']",2
7,11,"[1277.539487510465, 1016.1919636992997]",148.35950699783376,"['268789875', '3371735080']",2
8,14,"[1329.4452316182546, 475.26470099581786]",145.32710197125365,['2166694724'],1
9,17,"[1032.8104323820876, 200.74318909597667]",138.04908393396477,"['2164168433', '2164168455', '2167078771', '2167078772', '275676975', '3098974997', '330654038']",7
10,19,"[1931.6450927263982, 2121.2187617522804]",107.46169671037774,"['268789877', '268789942', '3248845375']",3
11,20,"[1782.0488663428919, 1622.9475114779925]",128.48400819152766,"['268789950', '268789961']",2
12,22,"[873.6281050771926, 182.81155682765518]",129.80517634519188,['3098974997'],1
13,24,"[1131.0638933418525, 663.6175755337466]",143.95264658913314,"['2166694752', '268789973', '268789976', '330653353']",4
14,25,"[1154.384066168428, 946.349945233615]",146.21772498946623,"['268789969', '268789971', '268789999', '268790000', '330612289', '3371735080']",6
15,26,"[135.8559770210473, 340.5704513228101]",138.56184321613895,['330780901'],1
16,29,"[1714.2280073848542, 1513.0600811259415]",135.1412377025736,"['268789882', '268789950', '268789961']",3
17,30,"[1487.000449136219, 539.0010900519956]",143.20174531423544,"['2166703022', '330653384']",2
18,32,"[863.7522667477527, 652.3218272296307]",138.03228498500263,['268790010'],1
19,33,"[1784.7975804770833, 1327.217187075942]",138.2900606768309,['268789954'],1
20,34,"[535.5757445917377, 594.2911814682938]",139.9270968171433,['330648048'],1
21,36,"[1156.7250382107989, 162.62908564837375]",139.26294524062592,"['2164168455', '2167078771', '2167078772', '275676975']",4
22,37,"[1159.366872559943, 417.7319953994694]",139.46736919192506,['275675441'],1
