,location,Radius,covered_nodes,Total_nodes_covered
0,"[-915.6896541284448, -708.1938577754843]",182.0018298179926,"['330648098', '330780901', '2018053792', '5391143596', '5391143604']",5
1,"[193.98383802236222, -40.093519689556736]",230.74381934369706,"['268789874', '268789926', '268789939', '268789985', '268789987', '268789988', '268789990', '268789999', '268790000', '330576364', '330593548', '330593595', '330593601', '330593605', '330593612', '330593618', '330593624', '330593641', '330593646', '330593651', '330593661', '330593701', '330593716', '330612021', '330612027', '330612029', '330612032', '330612039', '330612040', '330612044', '330612046', '330612049', '330612053', '330612289', '330779489', '3371735080']",36
2,"[-52.165506472945026, -314.90549147382734]",228.2911904399128,"['268789969', '268789971', '268789973', '268789976', '268789979', '268789999', '268790000', '268790010', '268790016', '268790030', '304913244', '304913245', '304913248', '304914011', '330612046', '330612289', '330612298', '330648003', '330653141', '330653166', '330653179', '330653184', '330653236', '330653241', '330653246', '330653249', '330653271', '330653290', '330774716', '3371735080', '3405118745']",31
3,"[766.9173745751821, 178.3279782437441]",214.29454756668147,"['268789868', '268789869', '268789920', '268789950', '268789954', '330576496', '330582202', '330593428', '330593447', '330593456', '330593460', '330593466', '330593480', '330593509', '2164208476', '2164208484', '3248842465', '3248842469', '3248842473', '3248842475', '3248842476', '3248842477', '3248842479']",23
4,"[852.1317273785257, 703.603487641765]",224.40351450117348,"['268789860', '268789861', '268789877', '268789944', '330576156', '330576503', '330576530', '330576539', '330576568', '330576592', '330576637', '330576647', '330576671', '330576678', '330576694', '330576715', '330576733', '330576745', '330576757', '330576765', '330576770', '330576811', '330576821', '330576830', '330582157', '330582193', '3371735058', '3371735059', '3371735060', '3371735062', '3371735063', '3371735085', '3371735086', '3371735087', '3405055667', '3405055668']",36
5,"[577.7722841113064, -162.6488929566491]",232.0546253276444,"['268789874', '330593497', '330593501', '330593697', '330593710', '330593716', '330612021', '330612026']",8
6,"[266.9640104663173, -665.2188877162935]",226.0033489291804,"['330653296', '330653303', '330653384', '330654000', '330654003', '330780144', '330780161', '330780167', '330780203', '2166694720', '2166694724', '2166694728', '2166694752', '2166703022', '2293922421', '3405091168', '7024847607']",17
7,"[-466.83675351711497, -354.2080311857485]",224.60667204270018,"['268790019', '304914007', '330612299', '330648024', '330648048', '330648058', '330648061', '330648065', '330648075', '330648108', '330648111', '330648114', '330648117', '330653928', '330653958', '330798362', '330798365', '672642687']",18
8,"[-64.73250683737999, -739.6671932760647]",226.8271983248387,"['275675438', '275675439', '275675440', '275675441', '330653262', '330653267', '330653353', '330653884', '330653967', '330653976', '330653978', '330653986', '330653996', '330653997', '330654000', '330654010', '330654012', '330780144', '330780155', '330780161', '330780167', '330780202', '330780203', '670703101', '670703151', '670703205', '670703217', '670703264', '2164168482', '2166694704', '2166694709', '2166694714', '2166694715', '2167078771']",34
9,"[881.5285035321456, 1029.1084033779046]",220.99786993387497,"['268789877', '268789879', '268789942', '268789959', '268790945', '330576694', '330576715', '3248845375', '3263038277', '3371735058']",10
