,location,Radius,covered_nodes,Total_nodes_covered
0,"[1004.4236350382523, 326.78722305694123]",250.54012070422354,"['5879215641', '5879215642', '5879215643', '5879215644', '5879215645', '5879215650', '6495983054', '6495983060', '6627410440', '6627410442', '667354765', '667357309', '667357310', '667357311', '667357317', '667357368', '668660548', '668699249']",18
1,"[1307.8489696392592, 651.7150014542137]",248.54620427910717,"['5366445105', '5879215634', '6576461331', '667357382', '667357383', '667357385', '667357387', '667357392', '667362347', '668685375', '668685380', 'cluster_5879215623_5879215625']",12
2,"[1141.0835013929814, 1228.2972478279285]",246.30153484972357,"['2055461155', '4348259327', '4348259331', '4348259340', '4348259341', '4369058864', '5882320075', '667357367', '667357405', '667357407', '667357409', '667357412', '667357415', '667357419', 'cluster_4348259335_7265460758', 'cluster_668620092_7147944044_7147944046']",16
3,"[245.333334952204, 1241.24132545588]",250.90428903386012,"['245674992', '4348259295', '4348259319', '4348259324', '5280437313', '5280437314', '6571330022', '6571330023', '668672574']",9
4,"[604.4229470657027, 1375.1067819455247]",249.29891671587168,"['4348259295', '4348259298', '4348265105', '4348265107', '5366445085', '5366445092', '5584937650', '6571330021', '6573701505', '667357361', '668672699']",11
5,"[637.1484307132649, 97.88665870159409]",252.0416590871995,"['6435688923', '6435688924', '6627410442', '668699193', '668699234', '668699237', '668699242']",7
6,"[1173.5037247482728, 1003.6191712211097]",247.6050599281751,"['2055461155', '4369058864', '5882320075', '6576461331', '667357392', '667357401', '667357405', '667357407', '667357409', '667357412', '7147944038']",11
7,"[959.2639472741523, 1614.42560208936]",247.30126840079572,"['1990860600', '4348259325', '4348259329', '4348265098', '4348265099', '4348265101', '4348265105', '4348265107', '6572115060', '6573701501', '6573701524', '667357421', '668612331', '6786321691']",14
8,"[871.7575202524944, 707.0524040091093]",247.42638338084427,"['3215340463', '5366445105', '5879215643', '6568909593', '6568909594', '6568909595', '6568909609', '6573854574', '667357317', '667357318', '667357325', '667357326', '667357382', '668699249']",14
9,"[1020.623917799805, 1394.7452479813192]",246.33027819680427,"['1990860600', '4348259325', '4348259327', '4348259329', '4348259331', '4348259333', '4348265099', '4348265101', '5366445082', '5584937650', '5882320075', '6573701524', '667357367', '667357419', '667357421', '668612331', '668672704', 'cluster_4348259335_7265460758', 'cluster_668620092_7147944044_7147944046']",19
10,"[700.547657747939, 1038.1331909582582]",249.22639139925946,"['5077600694', '5366445083', '5366445084', '6583550562', '667357330', '668672700']",6
