,Unnamed: 0,location,Radius,covered_nodes,Total_nodes_covered
0,0,"[805.4088705201942, 1453.9188283856045]",239.03021458389432,"['4348259329', '4348265098', '4348265099', '4348265101', '4348265105', '4348265107', '5366445082', '5366445085', '5366445092', '5584937650', '6573701501', '6573701505', '6573701524', '667357367', '667357421', '668612331', '668672704']",17
1,1,"[618.9382457613674, 93.99865538111783]",233.76257941167322,"['6435688923', '6435688924', '668699193', '668699234', '668699237', '668699242']",6
2,2,"[1063.1859843348934, 1562.6612876842535]",238.5787389434575,"['1990860600', '4348259325', '4348259327', '4348259329', '4348259331', '4348259333', '4348265098', '4348265099', '4348265101', '6572115060', '6573701524', '667357421', '668612331', '6786321691']",14
3,3,"[916.7912819422136, 318.5654510747194]",231.0491699429237,"['5879215641', '5879215642', '5879215643', '5879215644', '5879215645', '5879215650', '6495983054', '6495983060', '6568909609', '6627410440', '6627410442', '667354765', '667357309', '667357310', '667357311', '667357317', '667357368', '668660548', '668699237', '668699249']",20
4,4,"[1268.014419312746, 793.342217933564]",227.09208783522038,"['6576461331', '667357383', '667357385', '667357387', '667357392', '667357401', '667357407', '667362347', '668685380']",9
5,5,"[1186.114046301722, 438.49912701588306]",218.39568625668463,"['5879215634', '5879215641', '5879215642', '5879215644', '667357368', '667357382', '667357385', '667357387', '668685375', 'cluster_5879215623_5879215625']",10
6,6,"[1322.6579101708276, 1211.326223857927]",234.19242838819724,"['2055461155', '4348259340', '4348259341', '4369058864', '5882320075', '667357405', '667357407', '667357409', '667357412', '667357415', '667357419', 'cluster_4348259335_7265460758']",12
7,7,"[211.930577414652, 1330.5376733041867]",215.0877894632348,"['4348259319', '4348259324', '5280437313', '5280437314', '6571330021', '6571330022', '6571330023']",7
8,8,"[1017.8095603563403, 1119.6627262337536]",235.72307433170667,"['4369058864', '5077600694', '5366445082', '5366445083', '5366445084', '5882320075', '667357367', '7147944038', 'cluster_668620092_7147944044_7147944046']",9
9,9,"[897.1060075228395, 723.5637970205048]",232.62867965613054,"['3215340463', '5077600694', '5366445105', '6568909593', '6568909594', '6568909595', '6568909609', '6573854574', '667357317', '667357318', '667357325', '667357326', '667357382', '668699249']",14
10,10,"[714.9913870493203, 994.5424123106935]",236.99161591798276,"['5077600694', '5366445083', '5366445084', '6583550562', '667357326', '667357330', '668672700', '7147944038']",8
11,11,"[539.2069596645665, 1312.494710111539]",238.7510793894794,"['245674992', '4348259295', '4348259298', '5366445085', '5366445092', '6571330021', '6571330022', '667357361', '668672574', '668672699']",10
