,location,Radius,covered_nodes,Total_nodes_covered
0,"[7552.783830701865, 51551.09388273361]",1066.181265873729,"['1632344403', '1706781928', '1706782424', '5977652712']",4
1,"[3669.2993212247375, 58496.34063898155]",926.4247843664338,"['1464069965', '1464742786', '1464754936', '1465659629', '1465659638', '1465659653', '1465659665', '1465670116', '1465671986', '1465672006', '1465672666', '1465672678', '1465675498', '1465675500', '1465675507', '1465675519', '1470920811', '1470920817', '1470920820', '1470920833', '1470920845', '1470920851', '1828703071', '1828703124', '1828714775', '1828714791', '2467514397', '2539403017', '459838183', 'cluster_1465675489_1470920832']",30
2,"[8330.915928860142, 53685.99642661416]",1054.420433314026,"['1472168303', '1472168308', '1472168323', '1472168342', '1472168352', '1472168358', '1472168360', '1472168372', '1472168377', '1488488203', '1706781981', '2382028759', '2382028765', '2382028772', '2382028778', '2382028779', '2382028780', '2382028782', '2382028783', '2382028791', '2382028794', '2382028800', '2382028803', '2382028808', '2382028810', '2382032197', '2382032198', '2382032199', '2382032202', '2382032204', '2382032205', '2382032206', '2539397109', '5977646485', '5977652367', '6673290422', '6673290423', '6673290424', '6673290425', '6673290426', '6673501634', '6673501636', '6673501668', '6673501669', 'cluster_1706781959_5977652352']",45
3,"[10500.89740436246, 53079.13363934678]",1469.622812267596,"['1706835462', '5864789451', '6673290448']",3
4,"[4959.754502964924, 55494.19557760185]",849.8234522172621,"['1463853040', '1464058657', '1464083476', '1464239327', '1464240959', '1464240985', '1464240987', '1464244528', '1464244534', '1464244550', '1464244558', '1464244578', '1464253659', '1464253681', '1465573757', '1465573763', '1465577002', '1465577007', '1465577016', '1465578647', '1465606307', '1465606321', '1465606336', '1466594902', '1466597403', '1466622736', '1466675419', '1466675459', '1466675467', '1466675471', '1467298487', '1474359158', '1474359178', '1838490543', '1838490584', '1839485240', '1844234430', '1844234433', '1844234449', '1844234450', '1844244958', '1844244983', '1844245001', '1844245027', '1844245039', '1844245043', '1844245077', '1967953904', '1967954086', '1967954100', '1969363934', '1969646305', '1969646321', '1969646338', '1969646363', '1969646366', '1969646368', '2526402134', 'cluster_1464058651_1967954088', 'cluster_1464239307_1464243472', 'cluster_1464239322_1839490495', 'cluster_1465592829_3779293990', 'cluster_1466609642_2526403323', 'cluster_1844245030_1844245038']",64
5,"[3135.18993194724, 59447.49645162131]",1053.0181144223623,"['1464742786', '1464754936', '1465659601', '1465659626', '1465659638', '1465659653', '1465659663', '1465659665', '1858797454', '2639882876']",10
6,"[5414.398905096096, 53503.82132881948]",1055.0246387843144,"['1465562365', '1466695228', '1466695246', '1466695268', '1466695997', '1466696013', '1466734952', '1466735306', '1466735327', '1466735358', '1472157126', '1472157134', '1472157138', '1472157159', '1472157171', '1472157175', '1472157179', '1632342963', '1632343010', '1968363044', '1968363058', '1968363060', '1968363074', '1968363075', '1968363079', '1968379482', '1968390278', '2382028706', '2382028708', '2382028714', '2382028715', '2382028720', '2382028721', '2382028722', '2382028723', '2382028724', '2382028725', '2382028726', '2382028732', '2382028733', '2382028734', '2382028735', '2382028736', '2382028740', '2382028741', '2382028744', '2382028745', '2382028748', '2893303046', '2893303050', '2893303058', '4415558248', '4415558249', '4415558250', '4415664188', '4691953452', '4691953453', '4691953454', '4691953455', 'cluster_2382028718_2382028756', 'cluster_2382028739_2382028753']",61
7,"[6979.91350487683, 54814.8979428215]",1084.420968909985,"['1422425791', '1422425853', '1464088395', '1464088452', '1465581741', '1465581791', '1465589862', '1470899741', '1470899771', '1470899773', '1470899787', '1470899789', '1470899792', '1470899796', '1470899825', '1470899831', '1470899837', '1470899838', '1470899839', '1470902987', '1470902994', '1470903002', '1470903006', '1470903019', '1470903027', '1470903035', '1470903037', '1470903044', '1488488203', '1488488213', '1828384966', '1828385006', '1828385066', '1828385074', '1828385150', '1828385169', '1828385180', '1844244971', '1844245016', '1844245028', '1844245042', '1844245054', '1844245067', '1844245084', '1844245087', '1977533221', '1977533297', '2382028757', '2382028759', '2382028761', '2382028763', '2382028764', '2382028765', '2382028766', '2382028767', '2382028772', '2382028773', '2382028774', '2382028776', '2382028777', '2382028778', '2382028779', '2382028780', '2382028782', '2382028783', '2382028784', '2382028785', '2382028786', '2382028787', '2382028791', '2382028794', '2382028796', '2382028797', '2539397113', '2539399679', '2539399682', '2539399686', '2901120248', '2901127389', '2901163770', '2901163778', '3779281659', '3779289652', '3779289655', '3779293962', '3779293971', '4462398441', '4462463054', '5257582597', '5282643291', '6673501606', 'cluster_1422425932_3779281666_3779281669', 'cluster_1470902986_5257582363', 'cluster_1470903017_2901120243', 'cluster_1470903046_1977533184_1977533216', 'cluster_1969377000_1977533215', 'cluster_1969377006_3596322642', 'cluster_2382028769_2382028770']",98
8,"[6153.648664351159, 55700.98264985336]",1005.4538733213797,"['1464083476', '1464084610', '1464088452', '1465573757', '1465577000', '1465577002', '1465577007', '1465577016', '1465578630', '1465578647', '1465581663', '1465581679', '1465581722', '1465581741', '1465581791', '1465584815', '1465584838', '1465589862', '1465606307', '1465606321', '1465606336', '1467298487', '1470899771', '1470899773', '1470899787', '1470899789', '1470899792', '1470899796', '1470899825', '1470899831', '1470899837', '1470899838', '1470899839', '1470902994', '1470903006', '1470903019', '1470903035', '1470903037', '1844244952', '1844244971', '1844244973', '1844244979', '1844245016', '1844245020', '1844245025', '1844245028', '1844245032', '1844245033', '1844245037', '1844245040', '1844245042', '1844245048', '1844245054', '1844245063', '1844245064', '1844245067', '1844245074', '1844245083', '1844245084', '1844245087', '1969376993', '1969376995', '1969376996', '1969376997', '1969376998', '1969377002', '1969377004', '1969377005', '1969377007', '1969377009', '1969377010', '1969378935', '1969378943', '1969406095', '1969406096', '1969406128', '1969406148', '1969646305', '1977533221', '2526402134', '2539399679', '2539399682', '2539399686', '3779281659', '3779289652', '3779289655', '3779293962', '3779293971', 'cluster_1422425932_3779281666_3779281669', 'cluster_1465589863_1844245052', 'cluster_1465592829_3779293990', 'cluster_1470902986_5257582363', 'cluster_1470903046_1977533184_1977533216', 'cluster_1969377006_3596322642']",94
9,"[2238.4876025951976, 57783.728462111576]",1060.9537184902688,"['1464769051', '1465659629', '1465659638', '1465659653', '1465659663', '1465659665', '1465670011', '1465670116', '1465683121', '1465690662', '1465690691', '1465690695', '1465690756', '1465690758', '1465699740', '1465699768', '1465699948', '2639847409', '2639847410', '2639847419', 'cluster_1465683108_1465683131']",21
10,"[8168.847029580268, 52470.64024710632]",1116.3414671764046,"['1706781928', '1706782424', '5864789431', '5977646485', '5977652367', '5977652712', 'cluster_1706781959_5977652352']",7
11,"[7720.049721330353, 56952.38631723017]",1212.0801682202468,"['1369615162', '1464088413', '1464088459', '1464112043', '1464112044', '1464112055', '1464112087', '1464112123', '1472168513', '1472168514', '1472168515', '1472168618', '1472168625', '1472168627', '1472168629', '1472168640', '1472168643', '1472168647', '1472168653', '1472168663', '1472168670', '1472168672', '1472168676', '1472168678', '1828354401', '1828354475', '1828354479', '1828357381', '1828357493', '1828384972', '1828385113', '1828393486', '1828393523', '1969376989', '1969376992', '1969376995', '1969376998', '1969377003', '1969412752', '1969412753', '1969412786', '1969412794', '1969412818', '1969412825', '1969412832', '1969441183', '1969441189', '1969441191', '1969441194', '1969441195', '1969441198', '1969441199', '1969441200', '1969441203', '1969441205', '1969441210', '1969441219', '1969441225', '1969441229', '1969444693', '1969444722', '1969452856', '1969452927', '1969452931', '1969452939', '1969594468', '1969594484', '1969594538', '1969594553', '1969594562', '1977533218', '2526392565', '2526392577', '2526392592', '2526392594', '2526392615', '2526392626', '2526392664', '2526392689', '2539421172', '2539421180', '2539421181', '2539421185', '2539421189', '2901127387', '3114209153', '3114209154', '3114209160', '3114209161', '3114209162', '3114209166', '3114209171', '3114209173', '3114209177', '3114209180', '3114209183', '3114209186', '3114209208', '3114209209', '3114209215', '3114209217', '3114209219', '3114209222', '3114209829', '3779270429', '3779289653', '3779293964', '3779293972', '3779293973', '4635839403', '5257582684', '5257584857', '6531422813', '6531422814', '6531422815', '6531422816', '6531422817', '6531422818', '6531422821', '6531422826', '6635281030', '6635281031', '6635281032', '6635281038', '6635281045', '6636785822', '6636785823', '6636785824', '6636785825', '6636785826', '6636785827', '6636785835', '6636785838', '6636785839', '6641192981', '6641192983', '6641211391', '6641211400', '6641211401', '6705477951', '6705477953', '6705477954', '6705477957', '6705477958', '6705477959', '6705477963', '6705477965', '6705477968', '6705477969', '6705477971', '6705477972', '6705477974', '6705477976', '6705477978', '6705527793', '6705527834', '6705527835', '6705527837', '6705527838', '6705527841', '6705527842', '6705527843', '6705527844', '6715200388', '6715200389', '6715200391', '6715200392', '6715200394', '6715200396', '6722200277', '6722200283', '6722200284', '6722220688', '6722220689', '6722220691', 'cluster_1464112021_6531422812', 'cluster_1472168554_3114209152', 'cluster_1472168668_1969594531', 'cluster_1488488222_1977533288', 'cluster_1969377000_1977533215', 'cluster_1969412766_1969444692', 'cluster_1969441186_6636785837']",182
12,"[2901.0301124909965, 52888.60125844936]",993.0530316631434,"['1464208696', '1466737477', '1467276170', '1968353999', '1968354000', '1968354001', '1968379434', '1968390273', '1968390276', '1998370754', '1998370773', '245620069', '2616278954', '2616278956', '2616278967', '2639844137', '2639844139', '2639844145', '2639844146', '2639844157', '2639844158', '2639844167', '2639844171', '2639844172', '3290559982', '3290559985', '3290559987', '3290559988', '4079897436', '4079897451', '6003068727', '6003068741', '6003068782', '6003068791', '6003068813', '636601134#2-AddedOnRampNode', '636601140#0-AddedOffRampNode', '672742472', '867155830', 'cluster_1464203957_2893309430', 'cluster_2416151094_6041898904']",41
13,"[6551.086443979211, 57427.36757249075]",818.5322783443802,"['1464073427', '1464073430', '1464073449', '1464112044', '2526392664', '2539421172', '2539421176', '2539421180', '2539421181', '2539421185', '2539421189', '2539421210', '2539421228', '6531422813', '6531422814', '6531422815', '6531422816', '6531422817', '6531422818', '6531422821', '6634736723', '6634736724', 'cluster_1464112021_6531422812']",23
14,"[4431.013349684277, 57925.455274393906]",806.745032557,"['1464069965', '1464069982', '1465671986', '1465672666', '1470920794', '1470920800', '1470920820', '1470920833', '1470920845', '1470920851', '1828703071', '1828703124', '1828714775', '1828714791', '2467514397', '2539403017']",16
