,location,Radius,covered_nodes,Total_nodes_covered
0,"[290.9151528908075, 1721.3704538700435]",846.262691427371,"['249782331', '249782337', '249782343', '249782349', '249783257', '249783291', '249783293', '249783308', '249783313', '249783316', '267198388', '267198390', '267198392', '267198394', '267247451', '267247452', '267247454', '267247456', '267247460', '267247462', '267250972', '267250973', '267251597', '267251601', '345265121', '432874005', '458640632', '458640633', '458640636', '458640638', '458640640', '458640642', '458640643', '458640644', '883993784', '883993786', '883993861', '912971480', '938409400', '939091064', '939091095', '939091123', '939091176', '1191294765', '1191294803', '1309626482', '1668978741', '1669002266', '1669002267', '1762944960', '1762944963', '1762945073', '1763009596', '1849573429', '1869716862', '1869716889', '1869716891', '1869716906', '1869716913', '1869716916', '1869716945', '2592537501', '2946891534', '2946891535', '2946891543', '2946891544', '2946891545', '2946891547', '2946891549', '2946891550', '3504623687', '3504623688', '3504623690', '3744502766', '3744502776', '5343358483', '5343358486', '5343358490', '5343358491', '5415676369', '5434483914', '5434483918', '5434483919', '5434484022', '5434484025', '5434484056', '5434484057', '5681296951', '5681296953', '5681296954', '5681296956', '5681296958', '5681321306', '5681321307', '5681450581', '5681450601', '5792664560', '5792664570', '6234228012', '6234228027', '6234228028', '6234228030', '6234228031', '6437643222', '6437643223', '6438027823', '6438027824', '6439020983', '6439021689', '6439021690', '6439021695', '6439081881', '6576363382', '6576363383', '6576363384', '6576363386', '6576363387', '6576363388', '6576363389', '6576363390', '6576363391', '6576363392', '6576363393', '6576363394', '6576363395', '6576363396', '6576363398', '6576363399', '6576363400', '6576363401', '6649221978', '6649221979', '6649221980', '6738488031', '6761961053', '9179059986', '9179059988', '9179060001', '9179060002', '9179060006', '9179112452', '9179112454', '9234696672', '9857987460', '9857987475', '9857987478', '9857987481', '9860744485', '9872727150', '9873910564', '9873910565', '9873910566', '9873910567', '9873910568', '9873910569', '9873910573', '9874317356', '9874317357', '9884546150', '9985972679', '9985972683', '10239800530', '10246421063', '10246421064', '10254839121', '10254839122', '10254839123', '10254839124', '10254839125', '10254839126', '10254839127', '10254839128', '10254839130', '10255323278', '10273081180', '10273081181', '10685759180', '10685759181', '10685759183', '10685759184']",180
1,"[-1257.5525024199164, 1053.0099750203806]",846.6468669162688,"['249783302', '267249900', '267249902', '267249903', '267249905', '267249911', '267249912', '267249914', '267249915', '267249920', '267249923', '267249926', '267249927', '267249930', '267250993', '267250994', '267250995', '267250999', '267251003', '267251006', '267251007', '267251008', '267251009', '267259245', '267259246', '267259248', '267259262', '267259263', '267259266', '267259267', '267259269', '267259280', '267259283', '267259287', '267259291', '267259320', '267259322', '345234446', '345234450', '345234453', '345234460', '395135071', '395135085', '395135093', '395135103', '562591515', '562591519', '562591570', '562591601', '562615475', '621248447', '943560066', '943560121', '943560162', '943560221', '943560427', '1191294738', '1191294788', '1191294802', '1191294813', '1191294827', '1191294833', '1271972179', '1762977534', '1869716895', '2431986249', '2431986255', '2431986263', '2431986321', '2592537503', '2592537506', '2592537508', '2592537510', '2592537518', '2592537520', '2715812712', '3177903049', '3546111763', '3661513065', '3661513066', '3661513068', '3661513070', '3661513071', '3742418071', '3742418073', '3947529835', '4083435332', '4083435341', '4083435383', '4083435384', '4083436490', '4231821247', '4231821248', '4398510560', '4808285378', '4881456028', '5345583360', '5434483896', '5434483908', '5484083380', '5485189721', '5487506617', '5682466818', '5682466820', '5682467523', '5792664509', '5799521439', '5799521445', '5799521452', '5799521553', '5799521554', '5799521559', '5799521561', '5799521565', '5799663725', '5799663728', '5799663732', '5799663735', '5799663736', '5802016585', '5802016591', '5802016594', '6213742109', '6213742115', '6213742118', '6213742119', '6351713174', '6436408280', '6436625363', '6436625369', '6436650499', '6436657802', '6436685290', '6436685291', '6436685292', '6436685293', '6436685294', '6436685298', '6436685299', '6436821125', '6437796361', '6437796362', '6437796363', '6437796364', '6437796365', '6437796366', '6437796368', '6437796369', '6437796370', '6437796371', '6437796372', '6437796373', '6437796374', '6437796375', '6437796376', '6437796377', '6437796378', '6437796379', '6437796380', '6437796381', '6437796382', '6437796383', '6437796384', '6437797485', '6437797486', '6437797487', '6437797488', '6437797489', '6437797491', '6437797496', '6439049449', '6439049451', '6531578618', '6531585509', '6531585510', '6531655529', '6531655534', '6552977584', '6553019761', '6553019763', '6553019768', '6576464200', '6576464201', '6576464203', '6576464204', '6576464207', '6576464208', '6576464209', '6646336237', '6720393121', '6720393130', '6720393131', '7223006823', '7223006825', '7223006826', '7223006828', '7232925569', '7232925570', '7262926240', '7274125613', '9179118868', '9179118871', '9179118872', '9179118876', '9186342836', '9186342839', '9212682340', '9713061604', '9743073669', '9743073670', '9743073672', '9743073673', '9743073674', '9794183553', '9794183554', '9794237542', '9794237543', '9794237549', '9794237551', '9843212114', '9843216016', '9843218522', '9843218523', '9843224224', '9843353234', '9843353235', '9843353236', '9843353239', '9843353240', '9843486079', '9843486080', '9843524735', '9843524739', '9843554406', '9843554407', '9843554408', '9843554412', '9843554413', '9843554416', '9843555974', '9843555975', '9843555976', '9843555977', '9843579517', '9843579518', '9843579519', '9843579523', '9843579524', '9843579525', '9843579526', '9843579527', '9843616380', '9843616381', '9843616382', '9843958838', '9857860386', '9857860395', '9857860406', '9857860410', '9857860415', '9857874021', '9859502221', '9859502222', '10198906978', '10198906991', '10225136820', '10230413737', '10262211493', '10262211494', '10262211495', '10262211496', '10262211497', '10262211498', '10262211499', '10262211500', '10262211501', '10262211504', '10262211508', '10262239775', '10262239776', '10262239777', '10262239778', '10262239779', '10262239780', '10262239781', '10262239782', '10262239783', '10262239784', '10262239785', '10262239803', '10262239804', '10262239805', '10262290109', '10262290110', '10262290112', '10262290113', '10262310953', '10262310954', '10262310959', '10262310960', '10262310962', '10262310963', '10262310964', '10262310965', '10262310966', '10262310971', '10262376350', '10262376351', '10262376352', '10262376355', '10262384319', '10262384320', '10262384321', '10262384322', '10262384323', '10262384324', '10262384325', '10262384326', '10262384332', '10262384333', '10262384336', '10262384348', '10262384349', '10264219701', '10264219706', '10264255630', '10264255632', '10264255633', '10264255634', '10264255635', '10264255636', '10264255637', '10264255638', '10264255640', '10264255641', '10264255642', '10264255643', '10264255644', '10264255645', '10264255647', '10264255649', '10264255650', '10264255651', '10264255653', '10264255654', '10264255656', '10264255657', '10264255659', '10264255660', '10264255661', '10264290717', '10264290718', '10264290719', '10264290722', '10264290723', '10264290726', '10264303952', '10264303954', '10264334421', '10264334423', '10264334424', '10264542476', '10264542479', '10264640742', '10264640759', '10264640761', '10264741988', '10264741989', '10264764670', '10264764673', '10274798175']",371
2,"[-1459.471103069341, -33.494752321447606]",839.267715574442,"['249791204', '249791934', '267196295', '267196297', '267196303', '267196304', '267196309', '267196343', '267196344', '267196357', '267249920', '267249923', '267249926', '267249927', '267249930', '267253204', '267253206', '267253207', '267253209', '267259248', '267259251', '267259252', '267259255', '267259262', '267259263', '267259266', '267259267', '267259269', '267259270', '267259274', '267259278', '267259280', '267259282', '267259283', '267259287', '267259291', '267259320', '267259322', '267259325', '267259328', '267259409', '267259412', '267259426', '267259433', '267259435', '267259436', '267259438', '267259442', '267259450', '267609602', '621248441', '621248447', '943560162', '1368046429', '1368046436', '1763887407', '2729066760', '2729066812', '3644091680', '3644093241', '3644198790', '3742418071', '3742418073', '3749161008', '5483954444', '5483954454', '5483954459', '5483954464', '5483954472', '5484083380', '5485189721', '5487506617', '5561975423', '5561975424', '5561975427', '5792664481', '5792664486', '5792664494', '5792664509', '5792664521', '5802016585', '5802016591', '5802016594', '6213742109', '6213742115', '6213742118', '6213742119', '6436625363', '6436625369', '6436821125', '6436821126', '6485009721', '6485009727', '6531578618', '6531585509', '6531585510', '6702699429', '6720393087', '6720393108', '6720393121', '6720393130', '6720393131', '6720409790', '6720409811', '6720409826', '6742341827', '6742341836', '6742341851', '6742341860', '6742341897', '6742341898', '7262926240', '7262926243', '7309995824', '8750357804', '8750357805', '9186342836', '9186342839', '9790022350', '9790022352', '9794237530', '9794237531', '9794237532', '9794237533', '9794237534', '9794237535', '9794237537', '9843555974', '9843555975', '9843555976', '9843555977', '9843555988', '9843555989', '9843616380', '9843616381', '9843616382', '9858009521', '10198906978', '10198906991', '10264303952', '10264303954', '10264318164', '10264318180', '10264328243', '10264384042', '10264384043', '10264384044', '10264384045', '10264384047', '10264384048', '10264384049', '10264384050', '10264384051', '10264384052', '10264384053', '10264384054', '10264384056', '10264542476', '10264542479', '10264640742', '10264640759', '10264640761', '10264764670', '10264764673']",164
3,"[-287.9366428176621, -163.8954804328251]",850.5803317457911,"['249786848', '249786894', '249786895', '249791204', '267075233', '267196276', '267196295', '267196297', '267196303', '267196304', '267196309', '267196314', '267196319', '267196320', '267196336', '267196337', '267196340', '267196343', '267197830', '267249954', '267249955', '267249959', '267249960', '267249962', '267249964', '267249967', '267251016', '267251574', '267251575', '267251581', '267251585', '267251586', '267253204', '267253206', '267253207', '267253209', '621248465', '621248467', '621248468', '971653360', '1309626385', '1309626391', '1309626396', '1309626400', '1309626422', '1309626423', '1309626424', '1762989517', '1762989519', '1762989529', '1762989545', '1762989550', '1763887407', '1870091900', '3644093241', '3742418043', '3742418047', '3742418068', '3742418071', '3749161008', '5483954464', '5483954472', '5681450591', '5681450592', '5681450598', '5809063036', '5809063039', '5809063041', '5809063044', '5809063051', '5809063053', '6213742109', '6213742115', '6213742118', '6213742119', '6436172961', '6436172963', '6643524960', '6666317455', '6666317458', '6666317460', '6666317468', '6666317475', '6666317476', '6666317481', '6666318646', '6666318662', '6666328386', '6666328389', '6666328391', '6666328396', '6688997546', '6689054509', '6689054519', '6702699398', '6702699408', '6702699426', '6702699429', '6702699445', '6702699473', '6702699482', '6702715200', '6702715205', '6702715208', '6702715212', '6702715216', '6702715249', '6702715261', '6702715292', '6702715314', '6702715318', '6702715319', '6702715320', '6702715325', '6720409811', '6720409826', '6742341827', '6742341836', '6742341851', '6742341855', '6742341860', '7950461273', '9179109945', '9221708424', '9790022352', '9858009521', '9859979928', '9859979938', '10264318164', '10264318165', '10264318180', '10264318182', '10264318183', '10264318186', '10264328243', '10264328244', '10264384042', '10264384043', '10264384044', '10264384045', '10264384047', '10264384048', '10264384049', '10264384050', '10264384051', '10264384052', '10264384053', '10264384054', '10264384056']",149
4,"[-264.9492061878871, -1804.7484748492623]",852.4158533996566,"['267197844', '267197860', '267197863', '267197867', '267197868', '267197869', '267197870', '267197874', '267197876', '267197883', '267197887', '267197888', '267197891', '267197893', '267197897', '267197955', '267197960', '308883156', '308883222', '308883223', '308883229', '308883230', '308883231', '308883582', '308884930', '308884941', '308884943', '308884948', '308884952', '308884954', '308885274', '308890952', '308890954', '370583668', '370583672', '370584162', '370584167', '370584172', '370584207', '370584246', '433484645', '938641783', '938641806', '938641807', '943830439', '943830516', '943830590', '943830751', '943830775', '943830813', '943830889', '943830930', '943831168', '943831249', '943831293', '943831433', '943831487', '943831815', '943875567', '943875795', '943875805', '943875896', '1275190737', '1275190830', '1275190917', '1524384380', '2506020980', '2506020998', '3007872789', '3007872794', '3175023549', '3175023550', '3642421056', '3642431686', '3642434617', '3642437417', '3642437418', '3745701725', '3745701726', '3745722831', '3745722849', '3745722863', '3745729192', '3745729200', '3745729203', '3745741954', '3745741975', '3745741999', '3745743588', '3746076232', '3746138583', '3746138584', '3746138585', '3746138586', '3746138588', '3746138590', '3746138597', '3746138601', '3746138602', '3746138603', '3746138606', '3746138607', '3746138611', '3746138612', '3746138613', '3746138614', '3746138615', '3746138616', '3746138618', '3746138620', '3746138621', '3746138623', '3746138624', '3746139126', '3746139127', '3746139129', '3746139130', '3746139132', '3746139133', '3746139134', '3746139136', '3746139138', '3746139139', '3746139140', '3746139142', '3746139143', '3746139145', '3746139146', '3746139147', '3746139149', '3746139150', '3746139152', '3746139155', '3746139156', '3746139157', '3746139158', '3746139159', '3746139160', '3746139161', '3746139163', '3746139164', '3746139166', '3746139167', '3746139171', '3746139172', '3746139174', '3746139176', '3746139177', '5792664541', '5792664542', '5809063036', '5809063051', '5809063053', '6538750821', '6657443572', '6657547741', '6657547748', '6657547756', '6666318662', '6666318680', '6666318682', '6666377295', '6666377304', '6680295294', '6680295296', '6680295297', '6680295299', '6680295300', '6680797477', '6680819991', '6680819998', '6680820004', '6680820008', '6680820021', '6680820027', '6680820028', '6680820032', '6681148297', '6681148370', '6689054563', '6689054569', '7086574350', '9712983485', '9712983488', '9713020356', '9713020359', '9713020378', '9713020379', '9713029513', '9859986593', '9860259219', '9860259236', '9860276806', '9861689345', '9861689346', '9861689349', '9861689351', '9880276175', '9880276176', '9880276177', '9990228459', '10274753529', '10548781943', '10548781946', '10548781947']",205
5,"[597.3019654366145, -1464.0611410779336]",853.0618051633652,"['249786916', '249786918', '249786921', '249791377', '249791380', '267075196', '267075198', '267196323', '267196328', '267196331', '267197833', '267197834', '267197844', '267197856', '267197860', '267197863', '267197867', '267197868', '267197869', '267197870', '267197874', '267197955', '267197956', '267197957', '267197959', '267197960', '267197961', '267197963', '267197965', '267197967', '267197973', '267197974', '267197975', '267197976', '267197980', '267197983', '267197984', '267197985', '267197986', '308890952', '308890954', '314506006', '621248448', '621248449', '621248450', '910347038', '910549579', '910549625', '910549683', '910549711', '938641806', '938641807', '943830590', '943830751', '943830813', '943830930', '943831487', '943875795', '943875896', '1275190681', '1275190683', '1275190687', '1275190691', '1275190693', '1275190716', '1275190727', '1275190737', '1275190739', '1275190749', '1275190773', '1275190781', '1275190804', '1275190808', '1275190821', '1275190826', '1275190828', '1275190830', '1275190850', '1275190868', '1275190878', '1275190917', '1275190947', '1309626316', '1309626320', '1309626321', '1309626331', '1309626334', '1309626344', '1309626359', '1524384380', '1524384434', '1749427727', '1749427731', '1749433809', '1749433811', '1749433812', '1803830117', '1803830121', '1803830123', '1803830147', '1803838865', '1869899409', '1869899424', '1870091878', '2506020980', '2506020998', '3007872794', '3007872805', '3007872806', '3007872810', '3175023549', '3175023550', '3642434617', '3745701725', '3745701726', '3745701727', '3745701730', '3745701731', '3745701732', '3745701733', '3745701735', '3745701738', '3745701740', '3745701748', '3745701749', '3745701753', '3745701754', '3745701756', '3745701758', '3745701759', '3745701761', '3745701765', '3745701768', '3745701769', '3745729192', '3745729200', '3745729203', '3746076232', '3746076234', '3746076237', '3746076241', '3746076245', '3746076246', '3746076247', '3746076248', '3746076254', '3746076255', '3746138615', '3746138618', '3746138621', '3746138624', '3746139126', '3746139127', '3746139129', '3746139130', '3746139133', '3746139134', '3746139136', '3746139138', '3746139139', '3746139140', '3746139143', '3746139147', '3746139149', '3746139150', '3746139152', '3746139155', '3746139156', '3746139157', '3746139158', '3746139159', '3746139160', '3746139161', '3746139163', '3746139164', '3746139166', '3746139167', '3746139171', '3746139172', '3746139174', '3746139176', '3746139177', '5301832647', '5301832652', '5301832653', '5301832658', '5301832659', '5301832664', '5301832665', '5301832669', '6064361363', '6174545385', '6174545386', '6174545399', '6174545401', '6435912378', '6435912379', '6436362271', '6436362272', '6436466215', '6436466221', '6436466223', '6436466224', '6436809844', '6538750821', '6538753126', '6538759441', '6538759450', '6643020576', '6643020577', '6657547778', '6660387390', '6660387391', '6660387392', '6660387393', '6660387394', '6680820021', '6680820027', '6680820028', '6680820032', '6688997575', '6688997577', '6689054563', '6689054569', '6717668047', '6717668052', '6717668054', '6726448621', '6734562873', '6854465823', '6854465826', '6979349035', '6979349037', '6979349039', '7312809249', '7312809251', '7312809257', '7312809266', '7612444346', '9712983485', '9712983488', '9712983490', '9712983491', '9712983494', '9712983498', '9712983499', '9712983500', '9712983501', '9712983503', '9712983504', '9712983505', '9712983506', '9712983507', '9712983513', '9713020332', '9713020333', '9713020334', '9713020335', '9713020338', '9713020341', '9713020345', '9713020356', '9713020359', '9713020373', '9713020374', '9713020386', '9713020387', '9713020388', '9713020392', '9713020400', '9794249874', '9794249875', '9857393931', '9857744896', '9859979928', '9859986593', '9860083103', '9860119218', '9860119219', '9860150835', '9860259219', '9860259236', '9880276175', '9880276176', '9880276177', '9880276180', '9880276185', '9990228459', '10274973536', '10274973538', '10548781946', '10597908264', '10682483891', '10682483897']",294
6,"[-1252.0554731216882, 1824.5298278610874]",843.6117469167136,"['249782349', '249783302', '249783308', '267251007', '267259245', '267259246', '345234446', '345234450', '345234453', '345234455', '345234460', '345234470', '345234471', '345234473', '345265121', '395135071', '395135085', '395135093', '395135103', '432874005', '450631313', '450631428', '450639343', '562591515', '562591519', '562591570', '562591572', '562591589', '562591601', '912971480', '943560066', '943560313', '943560427', '1191294788', '1191294802', '1191294813', '1376300238', '1666858658', '1762977534', '1763141108', '1763141111', '1763141112', '1763141115', '1763141116', '1763141117', '1763141118', '1763141120', '1763141121', '1763141123', '1763141124', '1763141125', '1802525707', '1802525708', '1802525711', '1802525717', '1869716895', '1869716959', '1869899442', '2431986321', '2592537503', '2592537506', '2592537508', '2592537510', '2592537518', '2592537520', '2715812712', '2967264854', '2967264858', '2967264859', '2967264860', '2967264862', '2967264865', '2967264866', '2967264868', '2967264876', '3177903049', '3177903051', '3661513068', '3661513070', '3661513071', '3947530960', '3947530961', '4231821247', '4231821248', '4231821256', '4231821257', '4231821258', '4231821260', '4234992496', '4234992497', '4234992498', '4234992499', '4235030396', '4808285378', '5799521445', '6436650499', '6436657802', '6437796361', '6437796362', '6437796363', '6437796364', '6437796365', '6437796366', '6437796368', '6437796369', '6437796370', '6437796371', '6437796372', '6437796373', '6437796374', '6437796375', '6437796376', '6437796377', '6437796378', '6437796379', '6437796380', '6437796381', '6437796382', '6437796383', '6437796384', '6437797485', '6437797486', '6437797487', '6437797488', '6437797489', '6437797491', '6437797496', '6439049449', '6439049451', '6439164655', '6439164658', '6439164662', '6531650304', '6531650311', '6531660707', '6552977584', '6553019761', '6553019762', '6553019763', '6576464200', '6576464201', '6576464203', '6576464204', '6576464207', '6576464208', '6576464209', '6646336237', '7223006823', '7223006825', '7223006826', '7223006828', '7232925569', '7232925570', '7247334403', '7274125613', '9179109962', '9179109963', '9179109964', '9179109965', '9179109967', '9179118868', '9179118871', '9179118872', '9179118876', '9713061604', '9713061606', '9798119678', '9843212081', '9843212082', '9843212087', '9843212088', '9843212089', '9843212090', '9843212091', '9843212092', '9843212093', '9843212094', '9843212095', '9843212096', '9843212097', '9843212098', '9843212099', '9843212105', '9843212108', '9843212114', '9843216008', '9843216009', '9843216010', '9843216011', '9843216012', '9843216013', '9843216014', '9843216016', '9843218522', '9843218523', '9843218526', '9843218529', '9843218532', '9843218542', '9843218543', '9843218544', '9843218545', '9843218546', '9843218547', '9843218548', '9843218549', '9843218550', '9843218560', '9843224224', '9843224225', '9843268821', '9843268822', '9843268823', '9843268825', '9843268826', '9843268827', '9843268828', '9843268829', '9843268830', '9843268831', '9843268832', '9843268833', '9843268834', '9843268835', '9843268836', '9843268837', '9843268838', '9843268840', '9843268859', '9843268860', '9843268862', '9843274057', '9843283761', '9843283763', '9843283764', '9843353234', '9843353235', '9843353236', '9843353239', '9843353240', '9843353241', '9843353248', '9843353249', '9843524739', '9843579523', '9843579524', '9843579525', '9843579526', '9843579527', '9843958838', '9855947745', '9855947746', '9855947747', '9855947748', '9855947749', '9857860386', '9857860395', '9857860406', '9857860410', '9857860415', '9857874021', '9859502221', '9859502222', '9873677619', '9873677620', '9873677621', '9873677622', '9873677623', '9873677650', '9873677660', '9874283606', '9884269140', '9884269141', '9884269144', '9884269145', '9884269146', '9884269147', '10262239775', '10262239779', '10262239781', '10262310953', '10262310954', '10262310959', '10262310960', '10262310962', '10262310963', '10262310964', '10262310965', '10262310966', '10262310971', '10262384319', '10262384320', '10262384321', '10262384322', '10262384323', '10262384324', '10262384325', '10262384326', '10262384332', '10262384333', '10262384336', '10262384348', '10262384349', '10264255630', '10264255632', '10264255633', '10264255634', '10264255635', '10264255636', '10264255637', '10264255638', '10264255640', '10264255641', '10264255642', '10264255643', '10264255644', '10264255645', '10264255647', '10264255649', '10264255650', '10264255651', '10264255653', '10274798174', '10274798175', '10617616678', '10617616680']",326
7,"[-1181.6829053398542, -1502.4907876897832]",851.6739147563187,"['267197876', '267197883', '267197887', '267197917', '267197918', '267197925', '267197928', '267197930', '267197931', '267197934', '267197936', '267197937', '267197938', '267197939', '267197941', '267197943', '267197944', '267609602', '301037181', '301037183', '301037185', '301037187', '308884930', '308884941', '308884943', '308884948', '308884952', '308884954', '308885274', '308887717', '308887829', '308887830', '308887832', '355435736', '370583668', '370583672', '370584162', '370584167', '370584172', '370584207', '370584246', '433484629', '433484632', '563662816', '563662817', '563662818', '563662820', '563662821', '563662823', '621248504', '943830516', '943830669', '943830678', '943830775', '943830836', '943830889', '943830970', '943831086', '943831168', '943831203', '943831293', '943831448', '943831779', '943831837', '943831841', '943875805', '2729066760', '3642421056', '3644091680', '3742424993', '3744313582', '3744313590', '3745722831', '3745722849', '3745722863', '3745741954', '3745741975', '3745741999', '3745743588', '5483954479', '5483954499', '5483954511', '5483954515', '6485009721', '6485009727', '6657443547', '6657443548', '6657443554', '6657443558', '6657443572', '6657447293', '6657447335', '6657447355', '6657447361', '6657447369', '6657447375', '6657447379', '6657447387', '6657447390', '6657447407', '6657447410', '6657447421', '6657447427', '6657447431', '6657447436', '6657447459', '6657547731', '6657547735', '6657547740', '6657547741', '6657547748', '6657547756', '6666318680', '6666318682', '6666377304', '6680797477', '6680819991', '6680819998', '6681148325', '6681148370', '6720378881', '6720409790', '6720409805', '6776599534', '6776599542', '6776599544', '6776599549', '6776599564', '7086574350', '7309995823', '7309995824', '8750357800', '9179109952', '9684753362', '9852864646', '9852864658', '9859986618', '9859986619', '9861689345', '9861689346', '9861689349', '9861689351', '10274753529']",143
8,"[1103.5681121440773, -110.09055051813698]",854.5239411925521,"['249786894', '249786895', '249786916', '249791141', '267075193', '267075194', '267075196', '267075227', '267075233', '267197815', '267197829', '267197830', '267197831', '267197832', '621248465', '621248468', '883993802', '910549492', '938622286', '938622410', '938622665', '939091126', '939091136', '939091207', '971653360', '1275190866', '1309626359', '1309626362', '1309626365', '1309626385', '1309626391', '1309626396', '1309626400', '1524386723', '1524386736', '1524386740', '1803594526', '1870091896', '1873490489', '1873490492', '2431986201', '2431986204', '2431986210', '2431986232', '3217361693', '3742396957', '3743678685', '4333487303', '4333487323', '5415676327', '5415676331', '5420052304', '6153249679', '6153249680', '6153253285', '6153253286', '6153253303', '6153253304', '6153253305', '6153253307', '6153253308', '6569715497', '6643524960', '6702699426', '6702715200', '6702715205', '6702715208', '6702715212', '6702715216', '6702715249', '6702715261', '6702715356', '6702715394', '6702715395', '6702715407', '6717668070', '6738363906', '6738363907', '6738363908', '6738525668', '6738525669', '6738525673', '6738525675', '6738525676', '6738525681', '6738525682', '6738525683', '6738525684', '6738533685', '6738533686', '6738533701', '6738533703', '6979349039', '6994268196', '9006449720', '9179109917', '9179109921', '9179109922', '9179109924', '9179109926', '9179109928', '9179109930', '9189043484', '9865371356', '9865388958', '9865442876', '9865468735', '9910793804', '9910793805', '10255194168', '10536374287', '10536374288', '10603883041', '10603883042', '10603883043']",115
9,"[1854.8359548208737, -1396.422598028314]",857.2163777690533,"['249786916', '249791141', '249791143', '249823920', '267197967', '267197974', '267197975', '267197976', '267197986', '910451127', '910451285', '938622286', '938622292', '938622301', '938622435', '938622518', '1275190679', '1275190686', '1275190695', '1275190697', '1275190699', '1275190705', '1275190711', '1275190712', '1275190714', '1275190715', '1275190730', '1275190732', '1275190804', '1275190824', '1275190833', '1275190850', '1275190866', '1275190872', '1275190874', '1275190881', '1275190921', '1275190922', '1275190943', '1275190978', '1275190992', '1309626316', '1309626320', '1309626321', '1309626331', '1309626334', '1524403130', '1803593359', '1803593360', '1803593363', '1803593370', '1803593375', '1803593380', '1803593387', '1803593395', '2957312609', '2957312610', '2957312611', '2957312614', '2957312619', '2957312620', '2957312628', '2957312629', '2957312631', '2957312848', '2957312853', '2957312860', '2957312863', '2957312865', '2957312866', '2957312872', '2957312878', '2957312881', '2957312882', '2957312893', '2957312895', '2957312896', '2957312902', '2957312905', '2957312906', '3424244066', '3424244069', '3746076254', '3746076255', '3746076260', '4333487272', '4333487280', '4333487282', '5247558835', '5301832647', '5301832652', '5301832653', '5301832658', '5301832659', '5301832664', '5301832665', '5301832669', '5487205818', '6174530723', '6174530730', '6174545399', '6174545401', '6345186416', '6345186422', '6436362271', '6436818685', '6552222118', '6552673963', '6552673966', '6660387390', '6660387391', '6660387392', '6660387393', '6660387394', '6726448621', '6728672313', '6734562869', '6734562870', '6734562871', '6734562872', '6734562873', '6734562874', '6979349035', '6979349037', '7203403352', '7211342485', '7211342488', '9712983491', '9712983494', '9712983498', '9712983499', '9712983500', '9712983503', '9712983504', '9712983505', '9712983513', '9713020329', '9713020332', '9857393930', '9857393931', '9857393932', '9857393933', '9857393937', '9857393938', '9857393939', '9857393941', '9857393942', '9857393944', '9857393945', '9857393947', '9857504420', '9857504434', '9857504435', '9857511324', '9857744896', '9857832433', '9858001029', '9865468735', '9886435694', '9886435698', '9886435699', '9886435700', '9887063527', '10649389964', '10649389985']",165
