,Unnamed: 0,location,Radius,covered_nodes,Total_nodes_covered
0,0,"[934.9154142554701, -305.93836839832]",210.65366555398964,"['65556645', '65643858', '689489308', '689521173', '847411271', '1330035325', '1330035353', '1757902279', '1758004045', '2572535796', '2572535797', '2572535798', '2572535799', '2572535801', '2572535802', '2572535803', '2572535804', '2572535805', '2572535806', '2572535807', '4912961653', '4912961655', '4912961656', '4912961657', '4912961658', '4912961661', '4912961662', '5771900430', '5852624893', '5852624896', '5852624898', '5852624901', '5852624903', '5852624908', '5852676327', '5852676328', '5852676329', '6169889325', '6169889327', '6169889331', '6316668210', '6316668219', '6316668225', '6439110248', '6917873746', '6917873748', '6917873753', '8221843046', '8221843047', '8221843048', '8221843062', '8221843065', '8221843068', '8221843072', '8910620621', '8910620857', '8910620858', '8910620861', '9383029288', '9384053251', '9384053252', '9384053253', '9384053269', '9384053270', '9384053286', '9384053307', '9384053310', '10089365231', '10089365233', '10089365236', '10089365237']",71
1,1,"[-625.1679957124932, 464.24834818906913]",210.1993415660432,"['65545431', '65545441', '65545447', '1330035207', '1330035214', '1330035254', '1330035391', '1758054026', '1758054032', '2048603388', '2048603397', '2393501811', '2733190239', '2733190240', '2733190241', '2733190242', '3317804537', '3317804541', '3317804545', '3695987107', '3695987108', '3695987109', '3695987110', '3695987111', '3695987117', '3987158751', '3987158754', '3987158755', '3987161663', '4178848061', '6880867878', '6880898089', '7078764336', '7078764373', '7078764375', '7256905117', '7256905125', '7256905127', '7295363005', '7295363006', '7295363007']",41
2,2,"[-300.6294166828922, 312.08561286848976]",210.15121221493933,"['65381218', '65381219', '65644358', '65644370', '256568638', '314070856', '314071064', '314071067', '314071075', '314071201', '314071202', '522263513', '689482700', '847436048', '847442370', '2380604029', '3210187960', '4913257344', '4913257345', '4913257350', '5326408949', '5326408950', '5326408966', '6412799444', '6412799451', '6760894087', '7040829869']",27
3,3,"[374.63254054597104, -428.65771872254766]",210.47965394935616,"['65539592', '65543924', '256558465', '256558468', '340332218', '340332219', '340332226', '340332231', '340332240', '612018100', '4972966753', '5417696255', '5555811978', '5555811982', '5555811986', '5555811987', '5774153155', '5852624910', '6332176273']",19
4,4,"[52.20959501269285, -518.5185328387937]",210.41219865069093,"['65458552', '256566556', '256566748', '256566762', '256566854', '256568153', '256568484', '256568866', '281870455', '302116672', '340333379', '340333385', '340333457', '340333584', '340333585', '344843223', '344843953', '354797987', '4742742335', '4742742337', '4742742339', '4742742342', '4742742348', '4742742354', '4742742402', '4742742412', '4742742414', '4742742417', '4742742420', '4742742422', '4742742423', '4742742442', '5060845989', '5060845990', '5555811986', '5555811987', '5648594175', '5648594208', '5648594214', '6331490363', '6461239755', '6538294581', '6558675828', '6558675829', '6558675830']",45
5,5,"[175.92843446646708, 1082.0694731291514]",201.27132127483625,"['65476295', '262235786', '689504503', '956661154', '3316594148', '3316594151', '3316594152', '3316594156', '3316594158', '3316594159', '3316594160', '3316594461', '3316594462', '3316594463', '4913255749', '4913255751', '6381968937', '6381968941', '6382001617', '6382004325', '6814758767']",21
6,6,"[-276.8798246493291, -320.7294599975255]",210.14623203344368,"['65598519', '256567929', '256567930', '256568854', '256568866', '340334520', '344843743', '462443355', '522263721', '952997670', '2217384955', '4933019562', '5206902981', '6332452080', '6332452082', '6502805184']",16
7,7,"[359.9575396639374, 1097.057973913071]",162.6711212809407,"['65384635', '65384636', '65476295', '65476297', '65562625', '305587317', '522258539', '621397382', '621397383', '689494384', '689494429', '689494888', '689494891', '689495069', '1113685149', '1429242823', '1429242827', '3316594151', '3316594158', '3316594160', '3316594462']",21
8,8,"[-987.4540017198003, -625.5354546834508]",224.04805931357947,"['65525278', '65528782', '65658619', '314049419', '314055903', '1120952220', '1120952244', '1120952248', '1120952283', '1120952292', '1120952295', '1120952305', '1120952335', '1120952343', '1120952374', '1120952408', '1782366277', '2674894514', '4178848053', '4295590234', '4295590236', '4295590238', '4295590239', '4295590241', '4295590242', '4295590244', '4295590245', '4295590247', '4295590318', '5262835093', '5262835095', '5262835096', '6282025811', '6282025812', '6459925109']",35
9,9,"[337.6008801383755, 39.67864864832579]",210.6674743994413,"['65427080', '65427081', '65427082', '65473412', '275515667', '275515717', '340316006', '689487292', '1256091855', '1256091856', '2572379135', '2572526644', '3752867384', '3994962569', '4295505299', '4886811670', '6239344442']",17
10,10,"[62.236767616561266, -1120.613281078493]",210.50723229853455,"['65556602', '65556603', '287476202', '287476363', '354739993', '354739994', '354739997', '354740008', '354740028', '847467170', '847467257', '956656225', '1257080968', '2572379167', '2572379170', '2572379173', '2572379174', '2572379176', '2572379179', '6340177051', '6407637005', '7928670247']",22
11,11,"[-280.30995990381126, -604.4004311986524]",199.20621589579397,"['65501977', '65598519', '65658657', '288005601', '288005655', '314065986', '314066692', '340334520', '4913257332', '4913257333', '4913257335', '4913257336', '4913257337', '4913257338', '5060846130', '5060846132', '5060846133', '5060846134', '5206902981', '5933366061', '5977401633', '6294627081']",22
12,12,"[568.1299105294248, 268.37661462615074]",210.7247512256622,"['65484362', '354735610', '689487292', '689487293', '689512055', '689515525', '2572535781', '2572535782', '2572535785', '2572535787', '2572535788', '2572535789', '2572535790', '2572535791', '2572535792', '2572535793', '2572535794', '2572535795', '3994962569', '3997329598', '4886811315', '4886811670', '4891201082', '4891201083', '4891201084', '4891201085', '4891201093', '4891201112', '4891201116', '4891201117', '4891201118', '4891201119', '4912961718', '4912961821', '4912961822', '4912961823', '4912961824', '4912961825', '4912961826', '4912961827', '4912961829', '4912961830', '4912961835', '4912961837', '4912961838', '4912961839', '4912961840', '5993666172', '6477378136', '7322893435', '7882821206']",51
13,13,"[58.65783891574878, -178.10783506938208]",210.47037677983508,"['65427080', '344843223', '344843743', '354785189', '847423929', '5648594174', '5648594175', '5648594208', '5648594214', '6538294581', '8931150858']",11
14,14,"[-955.320118089969, -357.98540426407874]",210.0746819541276,"['65525278', '65528782', '65559217', '65565059', '65565064', '65658619', '2674894514', '4178848053', '4295590234', '4295590236', '4295590238', '4295590239', '4295590241', '4295590242', '4295590244', '4295590245', '4295590247', '4295590253', '4295590254', '4295590255', '4295590256', '4295590257', '4295590258', '4295590259', '4295590260', '4295590272', '4295590273', '4295590274', '4295590288', '4295590289', '4295590297', '4295590299', '4295590306', '4295590310', '4295590318', '6282025812', '6459925093', '6459925109', '6474223251', '6474223254', '6474223256']",41
15,15,"[631.2640953623401, -706.1979887207029]",210.5245450185689,"['65511122', '65511125', '65539580', '65539585', '65556654', '65662175', '65675373', '65675375', '256558437', '256558438', '256558468', '256568832', '256568846', '287480632', '287980668', '340333103', '340333268', '340333270', '354801007', '518824010', '2571160864', '2571160870', '2571160871', '2571160872', '2571160873', '2571160874', '2571160875', '2571160876', '2571160880', '2572379124', '2572379130', '2572379131', '2674894492', '3316594110', '3404860831', '3404860832', '3404860835', '5555812015', '5555999888', '6212884661', '6212885401', '6917973013', '6917973014']",43
16,16,"[-637.604477463587, -174.37212805088052]",211.98947073259862,"['65559205', '65565068', '65598495', '65598497', '340331999', '522263516', '689475473', '2054042522', '2217384936', '2411555343', '2572379209', '2572379211', '2572379212', '2572379215', '2572526524', '2572526529', '2572526533', '2572526535', '2572526539', '2572526541', '2572526543', '2572526548', '2572526550', '2572526552', '2572526554', '3124723316', '3124723319', '3124723320', '3124723321', '4675013242', '4913257358', '4913257361', '4913257363', '4913257368', '4913257369', '4913257374', '5555953354', '5555953356', '5676638013', '6319568651', '6319568653']",41
17,17,"[-610.774552777252, 105.58233519558274]",209.4050761786347,"['65545431', '65559188', '65559198', '65559205', '65559212', '65598495', '689475473', '1707961571', '1707961572', '1707961574', '1707961578', '1758054040', '2572526539', '2572526541', '2572526543', '2572526548', '2572526550', '2572526552', '2572526554', '2574077098', '2733190240', '2986710323', '5714340749']",23
18,18,"[-293.13288494982794, -1182.988648537008]",210.50048064064615,"['65556600', '65566209', '93412379', '93412380', '287476735', '287476746', '287476747', '287476762', '288214364', '522187230', '522187243', '522188960', '522188983', '522188986', '1257080792', '1257080880', '1257080968', '5215656010', '5215656012', '6407637005', '7133218464']",21
19,19,"[1255.2729170614484, -163.94029808356385]",208.37814661449562,"['65566622', '4912961659', '4912961662', '4912961668', '4912961669', '4912961671', '4912961672', '4912961673', '4912961678', '4912961680', '4912961681', '4912961682', '4912961683', '4912961685', '4912961686', '4912961687', '6107055087', '6108013635', '6108013638', '6292240725', '6292251810', '6292251811', '6293420761', '6316668219', '7730973334', '8221843041', '8221843046', '9384053316', '9384055059', '9384055070']",30
